"sector","product","marketingYear","month","partner","Einheit","Wert"
"Milk And Milk Products","Fresh milk","2022",6,"Switzerland","euroValue",14829
"Milk And Milk Products","Fresh milk","2022",6,"Switzerland","tons",5.032
"Milk And Milk Products","Fresh milk","2022",7,"Switzerland","euroValue",7592
"Milk And Milk Products","Fresh milk","2022",7,"Switzerland","tons",3.806
"Milk And Milk Products","Fresh milk","2022",8,"Switzerland","euroValue",8375
"Milk And Milk Products","Fresh milk","2022",8,"Switzerland","tons",2.892
"Milk And Milk Products","Fresh milk","2022",9,"Switzerland","euroValue",6130
"Milk And Milk Products","Fresh milk","2022",9,"Switzerland","tons",2.358
"Milk And Milk Products","Fresh milk","2022",10,"Switzerland","euroValue",11988
"Milk And Milk Products","Fresh milk","2022",10,"Switzerland","tons",3.898
"Milk And Milk Products","Fresh milk","2022",11,"Switzerland","euroValue",1181
"Milk And Milk Products","Fresh milk","2022",11,"Switzerland","tons",1.108
"Milk And Milk Products","Fresh milk","2022",12,"Switzerland","euroValue",1629
"Milk And Milk Products","Fresh milk","2022",12,"Switzerland","tons",1.268
"Milk And Milk Products","Fresh milk","2023",1,"Switzerland","euroValue",840
"Milk And Milk Products","Fresh milk","2023",1,"Switzerland","tons",0.624
"Milk And Milk Products","Fresh milk","2023",2,"Switzerland","euroValue",1310
"Milk And Milk Products","Fresh milk","2023",2,"Switzerland","tons",1.127
"Milk And Milk Products","Fresh milk","2023",3,"Switzerland","euroValue",1204
"Milk And Milk Products","Fresh milk","2023",3,"Switzerland","tons",1.169
"Milk And Milk Products","Fresh milk","2023",4,"Switzerland","euroValue",1527
"Milk And Milk Products","Fresh milk","2023",4,"Switzerland","tons",1.026
"Milk And Milk Products","Fresh milk","2023",5,"Switzerland","euroValue",1238
"Milk And Milk Products","Fresh milk","2023",5,"Switzerland","tons",0.757
"Milk And Milk Products","Fresh milk","2023",6,"Switzerland","euroValue",853
"Milk And Milk Products","Fresh milk","2023",6,"Switzerland","tons",0.544
"Milk And Milk Products","Fresh milk","2023",7,"Switzerland","euroValue",1359
"Milk And Milk Products","Fresh milk","2023",7,"Switzerland","tons",1.539
"Milk And Milk Products","Fresh milk","2023",8,"Switzerland","euroValue",17236
"Milk And Milk Products","Fresh milk","2023",8,"Switzerland","tons",6.684
"Milk And Milk Products","Fresh milk","2023",9,"Switzerland","euroValue",1271
"Milk And Milk Products","Fresh milk","2023",9,"Switzerland","tons",0.852
"Milk And Milk Products","Fresh milk","2023",10,"Switzerland","euroValue",2445
"Milk And Milk Products","Fresh milk","2023",10,"Switzerland","tons",1.15
"Milk And Milk Products","Fresh milk","2023",11,"Switzerland","euroValue",1414
"Milk And Milk Products","Fresh milk","2023",11,"Switzerland","tons",0.919
"Milk And Milk Products","Fresh milk","2023",12,"Switzerland","euroValue",1897
"Milk And Milk Products","Fresh milk","2023",12,"Switzerland","tons",1.517
